node,lv1_relation_text
Page-Fault Frequency Scheme,['Page-Fault Frequency Scheme is subclass of Working-Set Model']
Page-Replacement Algorithms,"['Page-Replacement Algorithms is subclass of Page Replacement', 'Page-Replacement Algorithms use knowledge of Counting Algorithms', 'Page-Replacement Algorithms use knowledge of LRU Algorithm', 'Page-Replacement Algorithms use knowledge of Optimal Algorithm', 'Page-Replacement Algorithms use knowledge of FIFO Algorithm']"
PagerDuty,"['PagerDuty is synonym of PagerDuty', 'PagerDuty is subclass of Alerting']"
Paging,"['Paging is subclass of Memory-Management Techniques', 'Paging use knowledge of Private Code', 'Paging use knowledge of Shared Code', 'Paging use knowledge of Shared Pages', 'Paging use knowledge of TLB Miss', 'Paging use knowledge of TLB Hit', 'Paging use knowledge of Address-Space Identifiers (ASIDs)', 'Paging use knowledge of Translation Look-Aside Buffers (TLBs)', 'Paging use knowledge of Associative Memory', 'Paging use knowledge of Page-Table Length Register (PRLR)', 'Paging use knowledge of Page-Table Base Register (PTBR)', 'Paging use knowledge of Implementation of Page Table', 'Paging use knowledge of Free Frames', 'Paging use knowledge of Paging Hardware', 'Paging use knowledge of Page Offset', 'Paging use knowledge of Page Number', 'Paging use knowledge of Address Translation', 'Paging use knowledge of Page Table']"
Pair programming,['Pair programming is subclass of Agile Software Development']
PalmTree,['PalmTree is synonym of Palm Trees']
Pandas,['Pandas is subclass of Python']
Panel,['Panel is subclass of Container']
Parallel Process Flow,['Parallel Process Flow is subclass of Process Flow']
Parallel Processing,['Parallel Processing is synonym of Parallel Processing']
Parallelism,"['Parallelism is synonym of Parallel and Concurrent Programming', 'Parallelism is subclass of Concurrency', 'Parallelism use knowledge of Multiple CPU Architectures']"
Parameters,"['Parameters is subclass of Functions', 'Parameters is subclass of Function', 'Parameters use knowledge of Data']"
Parent process,"['Parent process is subclass of Process', 'Parent process use knowledge of Process creation']"
Participation,['Participation is synonym of Attendance']
Participation Constraints,['Participation Constraints is subclass of Relationships']
Partitions,"['Partitions is subclass of Mounted Filesystems', 'Partitions use knowledge of partitions']"
Partitions and Mounting,"['Partitions and Mounting use knowledge of mount table', 'Partitions and Mounting use knowledge of metadata', 'Partitions and Mounting use knowledge of OS', 'Partitions and Mounting use knowledge of Root partition', 'Partitions and Mounting use knowledge of kernel', 'Partitions and Mounting use knowledge of boot loader', 'Partitions and Mounting use knowledge of Boot block', 'Partitions and Mounting use knowledge of raw', 'Partitions and Mounting use knowledge of file system', 'Partitions and Mounting use knowledge of volume', 'Partitions and Mounting use knowledge of Partition']"
Partner Data,"['Partner Data is subclass of Data Management', 'Partner Data is subclass of Databases', 'Partner Data use knowledge of Data Requirements']"
Passive Testing,['Passive Testing is subclass of Security Testing']
Password Attack,['Password Attack is subclass of Cyber Threat']
Password Change,['Password Change is subclass of Authentication Testing']
Password access,['Password access is subclass of FTP']
Path,"['Path use knowledge of current directory', 'Path use knowledge of relative path', 'Path use knowledge of absolute path']"
Path Traversal,['Path Traversal is subclass of Web Application Security']
Pause,['Pause is subclass of Animation Loop']
Payment,"['Payment is subclass of Ecommerce System', 'Payment is subclass of Front Interface']"
Payment Processing,['Payment Processing is synonym of Payments']
Payments,"['Payments is subclass of Software Development', 'Payments is subclass of Software Integrations', 'Payments use knowledge of Back End Engineering', 'Payments use knowledge of APIs', 'Payments use knowledge of Data Requirements']"
Penetration Testing,['Penetration Testing is synonym of Ethical Hacking']
Performance,['Performance is subclass of File System']
Performance Test,['Performance Test is subclass of Software Testing']
Performance Testing,"['Performance Testing is subclass of Software Testing Methodologies', 'Performance Testing is subclass of Quality Assurance', 'Performance Testing use knowledge of System Performance', 'Performance Testing use knowledge of Endurance Tests', 'Performance Testing use knowledge of Stress Tests', 'Performance Testing use knowledge of Load Tests', 'Performance Testing use knowledge of K6']"
Performance Tuning,['Performance Tuning is subclass of Software Engineering']
Performance testing,['Performance testing is subclass of Software Testing']
Periodic schedulers,['Periodic schedulers is subclass of Real-time Scheduling']
Permission Level,"['Permission Level is subclass of User Management', 'Permission Level use knowledge of Access Control']"
Permission Management,"['Permission Management is subclass of UNIX Permission', 'Permission Management use knowledge of rwxr--r--', 'Permission Management use knowledge of rwxrwxr-x', 'Permission Management use knowledge of rw-rw-r--', 'Permission Management use knowledge of change to', 'Permission Management use knowledge of rwxrwx---', 'Permission Management use knowledge of rw-rw-rw-', 'Permission Management use knowledge of rwxr-xr-x', 'Permission Management use knowledge of rwx', 'Permission Management use knowledge of number calculate', 'Permission Management use knowledge of chmod number filename']"
Personal Data Protection Act,['Personal Data Protection Act is synonym of PDPA']
Personal Firewall,['Personal Firewall is subclass of Firewalling']
Personas,['Personas is synonym of User Profiles']
Phishing,"['Phishing is subclass of Social Engineering', 'Phishing is subclass of Computer Hacking']"
Photovoltaic Cell,['Photovoltaic Cell is synonym of Solarcell']
Physical Address Space,['Physical Address Space is subclass of Memory']
Physical Data Independence,['Physical Data Independence is subclass of Data Independence']
Physical Data Model,['Physical Data Model is subclass of Data Models']
Physical Data Models,"['Physical Data Models is subclass of Data Models', 'Physical Data Models is subclass of Database Models', 'Physical Data Models use knowledge of Record Formats', 'Physical Data Models use knowledge of Indexes', 'Physical Data Models use knowledge of Access Paths', 'Physical Data Models use knowledge of Implementation Details']"
Physical Design,['Physical Design is subclass of Data Modeling']
Physical Memory,['Physical Memory is subclass of Operating System']
Physical Payment,"['Physical Payment is subclass of Payment', 'Physical Payment use knowledge of Payment']"
Physical Schema,['Physical Schema is synonym of Implementation/Physical Storage Level']
PickBeeper,['PickBeeper is subclass of Karel']
Pickle Module,['Pickle Module use knowledge of pickle.load']
Planning,"['Planning is synonym of Schedule', 'Planning is subclass of Software Engineering']"
Platform Infrastructure,['Platform Infrastructure is subclass of Infrastructure Platform']
Platform Misconfiguration,['Platform Misconfiguration is subclass of Security Misconfiguration']
Playwright,"['Playwright is subclass of QA Technologies', 'Playwright is subclass of Automation Frameworks', 'Playwright use knowledge of API Testing', 'Playwright use knowledge of UI Testing', 'Playwright use knowledge of TypeScript']"
Point of Sale Small Shop,['Point of Sale Small Shop is synonym of POS Small Shop']
Polymorphism,"['Polymorphism is subclass of Object-Oriented Programming', 'Polymorphism is subclass of Object-Oriented Programming (OOP)', 'Polymorphism use knowledge of Classes', 'Polymorphism use knowledge of Methods', 'Polymorphism use knowledge of Interfaces', 'Polymorphism use knowledge of Inheritance', 'Polymorphism use knowledge of Class', 'Polymorphism use knowledge of Object']"
Polymorphism With Interfaces,"['Polymorphism With Interfaces is subclass of Polymorphism', 'Polymorphism With Interfaces is subclass of Interfaces']"
Port,['Port is synonym of Port/API']
Port Scanning,['Port Scanning is subclass of System and Network Threats']
Port/API,['Port/API is subclass of Software Architecture']
Portability Requirements,['Portability Requirements is subclass of Non-Functional Requirement']
Positional Encoding,['Positional Encoding is synonym of Positional Encoding']
Post Office Protocol,['Post Office Protocol is synonym of POP']
Postfix mail server,"['Postfix mail server is subclass of Mail Server', 'Postfix mail server use knowledge of sasl2-bin']"
PostgreSQL,"['PostgreSQL is synonym of Postgres', 'PostgreSQL is synonym of PostgreSQL', 'PostgreSQL is subclass of Relational Database Management System', 'PostgreSQL is subclass of QA Technologies', 'PostgreSQL is subclass of Relational Databases', 'PostgreSQL is subclass of SQL Databases', 'PostgreSQL is subclass of Graphing', 'PostgreSQL is subclass of DBMS (Database Management Systems)', 'PostgreSQL use knowledge of Structured Query Language (SQL)', 'PostgreSQL use knowledge of SQL']"
Postgres,"['Postgres is synonym of PostgreSQL', 'Postgres is subclass of Database Management System', 'Postgres use knowledge of Database Design']"
Postman,"['Postman is subclass of API', 'Postman use knowledge of REST-API', 'Postman use knowledge of HTTP POST', 'Postman use knowledge of HTTP GET', 'Postman use knowledge of API']"
Power Efficiency,['Power Efficiency is subclass of Performance']
Power Management,['Power Management is subclass of Operating Systems']
Preemption,"['Preemption is subclass of CPU Scheduling', 'Preemption use knowledge of Non-preemptive', 'Preemption use knowledge of Preemptive']"
Pricing Strategies,['Pricing Strategies is synonym of Inventory and Pricing']
Primary Keys,['Primary Keys is subclass of Keys']
Prime Numbers,['Prime Numbers use knowledge of natural number']
Primitive Data Types,"['Primitive Data Types is subclass of data type', 'Primitive Data Types use knowledge of char', 'Primitive Data Types use knowledge of boolean', 'Primitive Data Types use knowledge of double', 'Primitive Data Types use knowledge of float', 'Primitive Data Types use knowledge of long', 'Primitive Data Types use knowledge of byte', 'Primitive Data Types use knowledge of short', 'Primitive Data Types use knowledge of int']"
Primitive data types,"['Primitive data types is subclass of Object-Oriented Programming (OOP)', 'Primitive data types use knowledge of data type', 'Primitive data types use knowledge of Default Initial Values', 'Primitive data types use knowledge of float', 'Primitive data types use knowledge of long', 'Primitive data types use knowledge of short', 'Primitive data types use knowledge of byte', 'Primitive data types use knowledge of char', 'Primitive data types use knowledge of double', 'Primitive data types use knowledge of int']"
Print,['Print is subclass of Python']
Printer Controller,"['Printer Controller is subclass of Device Controller', 'Printer Controller use knowledge of Printer']"
Printer controller,['Printer controller is subclass of I/O devices']
Priority Allocation,['Priority Allocation is subclass of Allocation of Page Frames']
Priority Inversion,"['Priority Inversion is subclass of Operating Systems', 'Priority Inversion is subclass of Priority Scheduling', 'Priority Inversion use knowledge of Priority Inheritance', 'Priority Inversion use knowledge of Process Synchronization']"
Priority Scheduling,"['Priority Scheduling is subclass of Scheduling Algorithms', 'Priority Scheduling use knowledge of Priority Inheritance', 'Priority Scheduling use knowledge of Priority Inversion', 'Priority Scheduling use knowledge of Starvation']"
Private IP,['Private IP is subclass of IP Address']
Private Key,['Private Key is subclass of Asymmetric Encryption']
Privilege,['Privilege is synonym of Permission Level']
Privilege escalation,"['Privilege escalation is subclass of Security', 'Privilege escalation is subclass of Protection', 'Privilege escalation use knowledge of Group ID', 'Privilege escalation use knowledge of User IDs']"
Privileged Access,['Privileged Access is subclass of Dual Mode Operation']
Privileged Instructions,['Privileged Instructions is subclass of Dual Mode Operation']
Problem Decomposition,['Problem Decomposition is synonym of Decomposition']
Problem Solving,['Problem Solving is subclass of Soft Skill']
Procedural Language/SQL,['Procedural Language/SQL is synonym of PL/SQL']
Procedure,['Procedure is synonym of Algorithm']
Procedures,"['Procedures is synonym of Functions', 'Procedures is synonym of Methods', 'Procedures is subclass of Programming', 'Procedures use knowledge of Algorithms', 'Procedures use knowledge of Functions']"
Process,"['Process is synonym of Software process', 'Process is subclass of Operating System', 'Process use knowledge of CPU-bound jobs', 'Process use knowledge of I/O-bound jobs', 'Process use knowledge of CPU Scheduling', 'Process use knowledge of Deadlock Handling', 'Process use knowledge of Process Communication', 'Process use knowledge of Process Synchronization', 'Process use knowledge of Threads', 'Process use knowledge of Concurrency', 'Process use knowledge of Multi-threaded process', 'Process use knowledge of Program counter', 'Process use knowledge of Process termination', 'Process use knowledge of Process Management']"
Process Communication,['Process Communication is subclass of Process Synchronization']
Process Concept,['Process Concept is subclass of Process']
Process Concepts,"['Process Concepts is subclass of Process management', 'Process Concepts use knowledge of system return PID', 'Process Concepts use knowledge of Parallel process', 'Process Concepts use knowledge of running in background', 'Process Concepts use knowledge of user must wait 10 second', 'Process Concepts use knowledge of Step process', 'Process Concepts use knowledge of interactive', 'Process Concepts use knowledge of Background process', 'Process Concepts use knowledge of Foreground process', 'Process Concepts use knowledge of PID', 'Process Concepts use knowledge of system id', 'Process Concepts use knowledge of UNIX multiple processes', 'Process Concepts use knowledge of job or program']"
Process Control,"['Process Control is subclass of Process management', 'Process Control use knowledge of Kill process by name', 'Process Control use knowledge of Kill process by lookup', 'Process Control use knowledge of kill high priority', 'Process Control use knowledge of Process killer', 'Process Control use knowledge of user process', 'Process Control use knowledge of all process', 'Process Control use knowledge of Process viewer']"
Process Control Block (PCB),['Process Control Block (PCB) is subclass of Process Concept']
Process Directory,"['Process Directory is subclass of Linux Directory Structure', 'Process Directory use knowledge of proc']"
Process Flow,['Process Flow is subclass of Software process']
Process Management,"['Process Management is subclass of Operating System', 'Process Management use knowledge of Process termination', 'Process Management use knowledge of Process']"
Process Model,"['Process Model is subclass of System Models', 'Process Model use knowledge of State Machine Diagram', 'Process Model use knowledge of Activity Diagram']"
Process Profiles,['Process Profiles is subclass of Process']
Process Schedulers,['Process Schedulers is subclass of Process Scheduling']
Process Scheduling,['Process Scheduling is subclass of Process']
Process State,['Process State is subclass of Process Concept']
Process Synchronization,"['Process Synchronization is subclass of Process', 'Process Synchronization is subclass of Operating Systems', 'Process Synchronization use knowledge of Deadlock Handling', 'Process Synchronization use knowledge of Process Communication']"
Process Termination,"['Process Termination is subclass of Operations on Processes', 'Process Termination is subclass of Recovery', 'Process Termination use knowledge of Completion', 'Process Termination use knowledge of Priority']"
Process creation,['Process creation is subclass of Operations on Processes']
Process event,['Process event is subclass of Event Driven Architecture']
Process framework,['Process framework is subclass of Software process']
Process termination,['Process termination is subclass of Process']
Processes,"['Processes is synonym of Processes', 'Processes is subclass of Operating System', 'Processes is subclass of Parallel and Concurrent Programming', 'Processes use knowledge of Registers', 'Processes use knowledge of Accounting Information', 'Processes use knowledge of Signals and Signal Handlers', 'Processes use knowledge of Pending Alarms', 'Processes use knowledge of Child Processes', 'Processes use knowledge of Open Files', 'Processes use knowledge of Global Variables', 'Processes use knowledge of Address Space', 'Processes use knowledge of Concurrency', 'Processes use knowledge of Context switching', 'Processes use knowledge of Resources']"
Processes Scheduling,['Processes Scheduling is synonym of Process Scheduling']
Processing Array Lists,['Processing Array Lists is subclass of ArrayList']
Processing One Row at a Time,['Processing One Row at a Time is subclass of Two-Dimensional Arrays']
Processing a Column at a Time,['Processing a Column at a Time is subclass of Two-Dimensional Arrays']
Processing a Given Column,['Processing a Given Column is subclass of Two-Dimensional Arrays']
Processing a Given Row,['Processing a Given Row is subclass of Two-Dimensional Arrays']
Processor Scheduling,['Processor Scheduling is synonym of CPU Scheduling']
Processors,['Processors is subclass of Compute']
Producer,['Producer is subclass of Channel']
Producer-Consumer Problem,"['Producer-Consumer Problem is subclass of Cooperating Processes', 'Producer-Consumer Problem is subclass of Process Synchronization', 'Producer-Consumer Problem use knowledge of Interprocess Communication (IPC)']"
Product,['Product use knowledge of Release Management']
Product Catalog,['Product Catalog is synonym of Product Information']
Product Data,['Product Data is synonym of Product Information']
Product Features,['Product Features is subclass of Product Management']
Product Information,"['Product Information is subclass of Data Management', 'Product Information is subclass of Databases', 'Product Information use knowledge of Data Requirements', 'Product Information use knowledge of Inventory and Pricing']"
Product Owner,"['Product Owner is subclass of Agile', 'Product Owner is subclass of Software Development Team Management', 'Product Owner use knowledge of Estimation', 'Product Owner use knowledge of Industry Best Practices']"
Product Owners,['Product Owners is synonym of Product Owner']
Product Portfolio Management,['Product Portfolio Management is synonym of product line management']
Product Quality,['Product Quality use knowledge of Software Testing']
Product Requirements,['Product Requirements is subclass of Requirements Engineering']
Production,"['Production is subclass of Process', 'Production use knowledge of Stream', 'Production use knowledge of Factory Application']"
Production Issues,"['Production Issues is subclass of IT Operations', 'Production Issues use knowledge of Software Engineer']"
Production Support,"['Production Support is subclass of Software Development', 'Production Support is subclass of IT Operations', 'Production Support use knowledge of Application Programs', 'Production Support use knowledge of System Performance', 'Production Support use knowledge of System Stability']"
Program,"['Program use knowledge of Output Structure', 'Program use knowledge of Algorithm', 'Program use knowledge of Control Structure', 'Program use knowledge of Variables', 'Program use knowledge of Functions']"
Program Counter,['Program Counter is synonym of PC']
Program Evaluation Review Technique (PERT) Chart,['Program Evaluation Review Technique (PERT) Chart is subclass of Software Project Management (SPM)']
Program Hierarchy,"['Program Hierarchy is subclass of Hierarchy', 'Program Hierarchy use knowledge of Component']"
Program Loading and Execution,['Program Loading and Execution is subclass of Operating Systems']
Program Management,"['Program Management is subclass of Project Management', 'Program Management use knowledge of Resource Allocation', 'Program Management use knowledge of Stakeholder Communication', 'Program Management use knowledge of Risk Management', 'Program Management use knowledge of Budget Management', 'Program Management use knowledge of Project Scheduling', 'Program Management use knowledge of Project Planning']"
Program Threats,['Program Threats is subclass of Security Threats']
Program counter,['Program counter is subclass of Process']
Program subclass,['Program subclass is subclass of Java']
Programming,"['Programming is synonym of Coding', 'Programming use knowledge of Logic', 'Programming use knowledge of Data', 'Programming use knowledge of Algorithms', 'Programming use knowledge of Software Development', 'Programming use knowledge of Bash', 'Programming use knowledge of Go', 'Programming use knowledge of Python']"
Programming Framework,"['Programming Framework is subclass of Software Engineering', 'Programming Framework use knowledge of Programming Language']"
Programming Language,['Programming Language is subclass of Software Engineering']
Programming Methodology,"['Programming Methodology is subclass of Programming Skill Development', 'Programming Methodology use knowledge of Style', 'Programming Methodology use knowledge of Code formatting', 'Programming Methodology use knowledge of Method Definition', 'Programming Methodology use knowledge of Decomposition']"
Programming Paradigm,['Programming Paradigm is subclass of Software Engineering']
Programming Proficiency Enhancement,['Programming Proficiency Enhancement is synonym of Programming Skill Development']
Programming Skill Development,"['Programming Skill Development use knowledge of Mathematical Problems', 'Programming Skill Development use knowledge of Graphical Programs', 'Programming Skill Development use knowledge of Object-Oriented Programming', 'Programming Skill Development use knowledge of Java Programming', 'Programming Skill Development use knowledge of Arithmetic Operations', 'Programming Skill Development use knowledge of Statistics', 'Programming Skill Development use knowledge of Programming Methodology', 'Programming Skill Development use knowledge of Computational problem solving', 'Programming Skill Development use knowledge of Software engineering', 'Programming Skill Development use knowledge of Java', 'Programming Skill Development use knowledge of Animation', 'Programming Skill Development use knowledge of Graphics', 'Programming Skill Development use knowledge of Random Numbers']"
Programming Skills,['Programming Skills is synonym of Programming Skill Development']
Programming Skills Development,['Programming Skills Development is synonym of Programming Skill Development']
Programming assignment,"['Programming assignment is subclass of Homeworks', 'Programming assignment use knowledge of Java', 'Programming assignment use knowledge of Python']"
Programming-Language Support,['Programming-Language Support is subclass of System Programs']
Progress,"['Progress is subclass of Process Synchronization', 'Progress use knowledge of Critical Section Problem']"
Project Adjusting,['Project Adjusting is subclass of Software Project Management (SPM)']
Project Goals,"['Project Goals is subclass of Software Project Management (SPM)', 'Project Goals is subclass of Project Management']"
Project Lifecycle,['Project Lifecycle is subclass of Project Management']
Project Management,"['Project Management is synonym of Management', 'Project Management is subclass of Software Development Process', 'Project Management use knowledge of Requirements Management', 'Project Management use knowledge of Project Methodologies', 'Project Management use knowledge of Project Lifecycle', 'Project Management use knowledge of Resource Allocation', 'Project Management use knowledge of Stakeholder Communication', 'Project Management use knowledge of Quality Assurance', 'Project Management use knowledge of Team Management', 'Project Management use knowledge of Contract Management', 'Project Management use knowledge of Budget Management', 'Project Management use knowledge of Project Scheduling', 'Project Management use knowledge of Project Planning', 'Project Management use knowledge of Risk Management', 'Project Management use knowledge of Change Management', 'Project Management use knowledge of Deliverables Management', 'Project Management use knowledge of Project Scope Definition']"
Project Management Officer (PMO),"['Project Management Officer (PMO) is subclass of Project Management', 'Project Management Officer (PMO) use knowledge of Project Methodologies', 'Project Management Officer (PMO) use knowledge of Risk Management', 'Project Management Officer (PMO) use knowledge of Budget Management', 'Project Management Officer (PMO) use knowledge of Project Scheduling', 'Project Management Officer (PMO) use knowledge of Project Planning']"
Project Management Triangle,['Project Management Triangle is synonym of Triple Constraint']
Project Manager,"['Project Manager is synonym of PM', 'Project Manager is subclass of Project Management']"
Project Managers,['Project Managers is synonym of Project Manager']
Project Methodologies,['Project Methodologies is subclass of Project Management']
Project Mgmt,['Project Mgmt is synonym of Project Management']
Project Monitoring,['Project Monitoring is subclass of Software Project Management (SPM)']
Project Organizing,['Project Organizing is subclass of Software Project Management (SPM)']
Project Planning,['Project Planning is subclass of Project Management']
Project Requirements,"['Project Requirements use knowledge of Business Requirements', 'Project Requirements use knowledge of Constraints and Cardinality of Relationships', 'Project Requirements use knowledge of Relationships between Entities', 'Project Requirements use knowledge of Attributes of Entities', 'Project Requirements use knowledge of Entities of Project']"
Project Schedule,['Project Schedule is synonym of Timeline']
Project Scheduling,['Project Scheduling is subclass of Project Management']
Project Scope Definition,"['Project Scope Definition is subclass of Project Management', 'Project Scope Definition use knowledge of Requirements Management']"
Project Triangle,['Project Triangle is synonym of Triple Constraint']
Projection,['Projection is subclass of Relational Algebra in DBMS']
Projects,['Projects is synonym of Assignments']
PromQL,"['PromQL is synonym of PromQL', 'PromQL use knowledge of Key/Value Pairs', 'PromQL use knowledge of Metric Name', 'PromQL use knowledge of Time Series Data']"
Prometheus,"['Prometheus is synonym of Prometheus', 'Prometheus is subclass of Systems Monitoring', 'Prometheus use knowledge of Targets', 'Prometheus use knowledge of Scrape Configs', 'Prometheus use knowledge of Prometheus Configuration File', 'Prometheus use knowledge of Prometheus Server', 'Prometheus use knowledge of Alertmanager', 'Prometheus use knowledge of Service Discovery', 'Prometheus use knowledge of HTTP', 'Prometheus use knowledge of Pull Model', 'Prometheus use knowledge of Key/Value Pairs', 'Prometheus use knowledge of Metric Name', 'Prometheus use knowledge of Time Series Data', 'Prometheus use knowledge of PromQL']"
Prometheus Configuration File,"['Prometheus Configuration File is synonym of Prometheus Configuration File', 'Prometheus Configuration File use knowledge of scrape_configs', 'Prometheus Configuration File use knowledge of static_configs', 'Prometheus Configuration File use knowledge of alertmanagers', 'Prometheus Configuration File use knowledge of external_labels', 'Prometheus Configuration File use knowledge of evaluation_interval', 'Prometheus Configuration File use knowledge of scrape_interval']"
Prometheus server,"['Prometheus server is synonym of Prometheus server', 'Prometheus server is subclass of Prometheus']"
Promises,['Promises is synonym of Promise Function']
Proper Divisors,['Proper Divisors is subclass of Divider']
Protect User Process,['Protect User Process is subclass of Dual Mode Operation']
Protect the Server,['Protect the Server is subclass of Web Application Security']
Protection,"['Protection is subclass of Operating System', 'Protection is subclass of File System', 'Protection use knowledge of Protection Domains', 'Protection use knowledge of public access', 'Protection use knowledge of group access', 'Protection use knowledge of owner access', 'Protection use knowledge of classes of users', 'Protection use knowledge of Mode of access', 'Protection use knowledge of Access Lists and Groups', 'Protection use knowledge of Types of access', 'Protection use knowledge of owner/creator', 'Protection use knowledge of Group ID', 'Protection use knowledge of User IDs', 'Protection use knowledge of Privilege escalation', 'Protection use knowledge of Identity theft', 'Protection use knowledge of Viruses', 'Protection use knowledge of Worms', 'Protection use knowledge of Denial-of-service']"
Protocol Extension,['Protocol Extension is subclass of Hypertext Transfer Protocol (HTTP)']
Prototype,['Prototype is subclass of Software Design']
Prototyping,"['Prototyping is subclass of UI/UX Design', 'Prototyping is subclass of Software Process Models', 'Prototyping is subclass of Evolutionary Process Flow', 'Prototyping use knowledge of Figma']"
Proxy HTTP,['Proxy HTTP is subclass of HTTP']
Proxy cache,"['Proxy cache is subclass of Variable Content', 'Proxy cache is subclass of Security Logging and Monitoring Failures']"
Pseudo-Random-Bit Generator,['Pseudo-Random-Bit Generator is subclass of Cryptography']
Pseudo-code,['Pseudo-code is subclass of Algorithm']
Pseudo-random Numbers,['Pseudo-random Numbers is subclass of Random']
Pseudocode,"['Pseudocode is subclass of Programming Skill Development', 'Pseudocode use knowledge of Algorithm']"
Pthreads,"['Pthreads is synonym of Pthreads', 'Pthreads is subclass of Threads', 'Pthreads use knowledge of Portable Operating System Interface for UNIX', 'Pthreads use knowledge of POSIX Standard']"
Pthreads creation,['Pthreads creation is synonym of Thread Creation']
Public IP,['Public IP is subclass of IP Address']
Public Key,['Public Key is subclass of Asymmetric Encryption']
Public Sector Application,['Public Sector Application is synonym of Government Application']
Public key encryption,['Public key encryption is subclass of Data encoding']
Public-Key Encryption,['Public-Key Encryption is synonym of Asymmetric Encryption']
Publisher,['Publisher is synonym of Producer']
Pull,"['Pull is subclass of Git', 'Pull use knowledge of Repositories']"
Pull Model,"['Pull Model is synonym of Pull Model', 'Pull Model use knowledge of HTTP']"
Pull off,['Pull off is subclass of Rack Servers']
Puppet,"['Puppet is subclass of Configuration Management Tool', 'Puppet use knowledge of Deployment', 'Puppet use knowledge of CI/CD']"
Push,"['Push is subclass of Git', 'Push use knowledge of Repositories', 'Push use knowledge of Commit']"
Pushgateway,"['Pushgateway is synonym of Pushgateway', 'Pushgateway is subclass of Prometheus']"
Pushing Time Series,"['Pushing Time Series is synonym of Pushing Time Series', 'Pushing Time Series use knowledge of Pushgateway', 'Pushing Time Series use knowledge of Prometheus']"
PutBeeper,['PutBeeper is subclass of Karel']
Python,"['Python is synonym of Python(django)', 'Python is subclass of Software Development', 'Python is subclass of Programming', 'Python is subclass of Programming Language', 'Python is subclass of Application programs', 'Python use knowledge of Pandas', 'Python use knowledge of Recursion', 'Python use knowledge of Iteration', 'Python use knowledge of Exceptions', 'Python use knowledge of Functions', 'Python use knowledge of Strings', 'Python use knowledge of Sets', 'Python use knowledge of Dictionaries', 'Python use knowledge of Lists', 'Python use knowledge of File Processing', 'Python use knowledge of Algorithms', 'Python use knowledge of Data']"
Python Math,"['Python Math is subclass of Python', 'Python Math use knowledge of Numbers']"
Python Programming Language,['Python Programming Language is synonym of Python']
Python(django),['Python(django) is subclass of Framework']
QA,"['QA is synonym of Quality Assurance', 'QA is synonym of Testing']"
QA Engineer,['QA Engineer is synonym of Software QA Engineer']
QA Technologies,"['QA Technologies use knowledge of PostgreSQL', 'QA Technologies use knowledge of MongoDB', 'QA Technologies use knowledge of K6', 'QA Technologies use knowledge of Playwright']"
QR Code Reader,['QR Code Reader is synonym of QR Reader']
QR Reader,"['QR Reader use knowledge of Ticket (QR)', 'QR Reader use knowledge of Staff Scan QR', 'QR Reader use knowledge of Ticket(QR)']"
QR Ticket,['QR Ticket is synonym of Ticket (QR)']
Quality,"['Quality is subclass of Software Engineering', 'Quality is subclass of Systems Engineering', 'Quality use knowledge of Testing']"
Quality Assurance,['Quality Assurance is subclass of Project Management']
Quality Assurance (QA),['Quality Assurance (QA) is synonym of Test']
Quality Assurance Engineer,['Quality Assurance Engineer is synonym of Software QA Engineer']
Quality Assurance Standards,['Quality Assurance Standards is synonym of Quality Standards']
Quality Assurance Technologies,['Quality Assurance Technologies is synonym of QA Technologies']
Quality Focus,['Quality Focus is subclass of Software Engineering']
Query,['Query is synonym of Query or Command']
Query DNS records,['Query DNS records is subclass of DNS']
Query Language,['Query Language is synonym of PromQL']
Query Languages,"['Query Languages is subclass of Data Retrieval', 'Query Languages is subclass of Database Systems', 'Query Languages use knowledge of High-Level Query Specification', 'Query Languages use knowledge of User queries', 'Query Languages use knowledge of Structured Query Language', 'Query Languages use knowledge of SQL']"
Query Processing,['Query Processing is subclass of Database Systems']
Query Structure,"['Query Structure is subclass of SQL', 'Query Structure use knowledge of DELETE Statements', 'Query Structure use knowledge of UPDATE Statements', 'Query Structure use knowledge of INSERT Statements', 'Query Structure use knowledge of ORDER BY', 'Query Structure use knowledge of WHERE clause']"
Query or Command,['Query or Command is subclass of Command Management']
Question Answering,"['Question Answering is synonym of Question Answering', 'Question Answering is subclass of Text Generation']"
Queue,['Queue is subclass of Channel']
RAD Model,['RAD Model is synonym of Rapid Application Development']
RAG,['RAG is synonym of Retrieval-Augmented Generation (RAG)']
RAID,"['RAID is subclass of Mass-Storage Systems', 'RAID use knowledge of RAID 0+1', 'RAID use knowledge of RAID 50', 'RAID use knowledge of RAID 10', 'RAID use knowledge of RAID 6', 'RAID use knowledge of RAID 5', 'RAID use knowledge of RAID 4', 'RAID use knowledge of RAID 3', 'RAID use knowledge of RAID 2', 'RAID use knowledge of RAID 1', 'RAID use knowledge of RAID 0']"
RAID 3,"['RAID 3 is subclass of RAID', 'RAID 3 use knowledge of parity disk', 'RAID 3 use knowledge of level striping', 'RAID 3 use knowledge of byte']"
RAID 4,"['RAID 4 is subclass of RAID', 'RAID 4 use knowledge of block']"
RAID 5,"['RAID 5 is subclass of RAID', 'RAID 5 use knowledge of striping with parity data']"
RAID Adapter,['RAID Adapter is subclass of Computer Server']
